contig_u,contig_v,short_pair_count,long_read_count,total_support
1,258,9,0,9
1,6,0,78,78
10,100,0,0,0
10,103,0,0,0
10,107,0,0,0
10,114,0,1,1
10,12,0,26,26
10,132,0,0,0
10,14,0,20,20
10,24,0,10,10
10,38,0,4,4
10,43,0,2,2
10,51,0,1,1
10,53,0,2,2
10,56,0,2,2
10,73,0,0,0
10,76,0,1,1
10,83,0,1,1
100,103,0,0,0
100,107,0,0,0
100,114,0,0,0
100,12,0,1,1
100,122,2,2,4
100,132,0,0,0
100,14,0,0,0
100,24,0,0,0
100,38,0,1,1
100,43,0,0,0
100,51,0,0,0
100,53,0,0,0
100,56,0,0,0
100,73,0,0,0
100,76,0,0,0
100,83,0,0,0
101,129,5,2,7
101,271,2,0,2
102,108,14,0,14
102,156,8,0,8
103,107,0,0,0
103,114,0,0,0
103,12,0,0,0
103,132,0,0,0
103,14,0,0,0
103,212,9,0,9
103,24,0,0,0
103,38,0,0,0
103,43,0,0,0
103,51,0,0,0
103,53,0,0,0
103,56,0,0,0
103,73,0,0,0
103,76,0,0,0
103,83,0,0,0
104,130,14,1,15
104,280,7,0,7
105,244,9,0,9
105,265,2,0,2
106,284,17,0,17
107,114,0,0,0
107,12,0,0,0
107,132,0,0,0
107,14,0,2,2
107,24,0,62,62
107,284,8,0,8
107,38,0,0,0
107,43,0,0,0
107,51,0,0,0
107,53,0,0,0
107,56,0,0,0
107,73,0,0,0
107,76,0,0,0
107,83,0,0,0
108,79,6,0,6
109,19,12,6,18
109,205,43,1,44
109,21,23,7,30
109,255,18,0,18
109,35,20,72,92
109,40,10,1,11
11,172,0,0,0
11,213,0,0,0
11,55,0,1,1
11,65,0,3,3
110,141,16,0,16
111,282,1,0,1
111,284,8,0,8
112,237,5,0,5
112,284,5,0,5
113,275,10,0,10
114,12,0,2,2
114,132,0,0,0
114,14,0,0,0
114,24,0,1,1
114,38,0,0,0
114,43,0,0,0
114,51,0,0,0
114,53,0,0,0
114,56,0,0,0
114,64,0,0,0
114,73,0,0,0
114,76,0,0,0
114,83,0,0,0
114,94,0,49,49
115,13,14,2,16
115,148,62,22,84
115,189,8,1,9
116,157,7,0,7
116,244,1,0,1
117,139,9,0,9
117,186,0,0,0
117,89,0,0,0
117,96,0,0,0
118,184,9,0,9
118,20,8,143,151
118,24,5,1,6
118,25,15,3,18
118,26,6,40,46
118,28,13,133,146
118,3,11,9,20
118,36,3,5,8
118,46,18,102,120
118,54,3,4,7
118,57,6,0,6
118,58,15,29,44
118,59,13,126,139
118,61,16,94,110
118,64,16,31,47
118,7,8,4,12
119,121,160,505,665
119,236,137,19,156
12,128,3,2,5
12,132,0,0,0
12,14,0,19,19
12,24,0,5,5
12,38,0,5,5
12,43,0,4,4
12,51,0,3,3
12,53,0,2,2
12,56,0,5,5
12,73,0,0,0
12,76,0,0,0
12,83,0,1,1
120,127,4,0,4
120,138,17,0,17
120,53,16,0,16
120,60,12,0,12
120,73,25,0,25
120,77,52,0,52
120,85,5,1,6
120,98,9,0,9
121,277,0,0,0
121,283,0,0,0
122,145,2,0,2
122,37,2,1,3
122,70,3,1,4
123,260,0,0,0
123,44,0,0,0
123,99,0,0,0
125,159,10,0,10
125,262,9,0,9
126,146,0,1,1
126,180,32,0,32
126,265,10,0,10
127,168,2,0,2
127,98,0,0,0
128,135,10,0,10
128,138,14,0,14
128,168,7,0,7
128,212,120,0,120
128,80,125,0,125
129,186,2,0,2
129,260,0,0,0
129,29,10,1,11
129,43,5,1,6
129,45,6,1,7
130,78,5,0,5
130,81,4,0,4
130,97,10,0,10
131,159,5,1,6
131,162,8,0,8
132,14,0,0,0
132,24,0,0,0
132,284,19,0,19
132,38,0,0,0
132,43,0,0,0
132,51,0,0,0
132,53,0,0,0
132,56,0,0,0
132,73,0,0,0
132,76,0,0,0
132,83,0,0,0
133,15,0,0,0
133,161,95,0,95
133,17,12,1,13
133,219,11,0,11
133,34,0,0,0
133,36,0,0,0
133,41,0,0,0
133,48,0,0,0
133,54,0,0,0
133,62,0,0,0
133,70,0,0,0
133,8,0,1,1
133,94,15,0,15
134,216,8,0,8
134,252,12,0,12
135,268,13,0,13
136,151,0,1,1
136,212,6,0,6
137,223,2,0,2
137,224,4,0,4
137,246,1,0,1
137,256,1,0,1
139,198,51,0,51
139,204,20,1,21
139,31,8,36,44
14,24,0,9,9
14,38,0,1,1
14,43,0,4,4
14,51,0,4,4
14,53,0,0,0
14,56,0,1,1
14,73,0,0,0
14,76,0,1,1
14,83,0,2,2
140,241,0,0,0
140,273,8,0,8
141,262,3,0,3
141,93,23,0,23
142,284,14,0,14
142,95,0,0,0
142,96,0,7,7
143,180,12,0,12
143,284,9,0,9
144,149,30,8,38
144,228,28,0,28
145,162,6,0,6
146,208,0,0,0
146,242,7,2,9
147,172,11,1,12
147,197,13,0,13
147,253,29,0,29
148,158,35,26,61
149,169,32,75,107
15,284,4,0,4
15,34,0,2,2
15,36,0,6,6
15,41,0,0,0
15,48,0,3,3
15,54,0,1,1
15,62,0,2,2
15,70,0,4,4
15,8,0,11,11
150,176,67,46,113
150,210,34,11,45
151,242,229,12,241
152,169,35,12,47
152,246,1,0,1
152,256,8,0,8
153,164,59,2,61
153,225,10,0,10
154,204,0,0,0
154,261,6,0,6
154,284,7,0,7
154,285,2,0,2
155,198,95,7,102
155,249,23,0,23
156,166,4,0,4
156,167,11,0,11
156,78,9,0,9
157,212,6,0,6
157,217,32,0,32
158,179,19,1,20
159,162,43,0,43
159,262,13,0,13
159,31,9,0,9
159,37,2,0,2
159,75,9,0,9
16,267,6,0,6
160,214,19,0,19
160,234,52,0,52
161,275,17,0,17
162,63,14,0,14
162,87,17,0,17
162,93,20,0,20
163,284,40,0,40
164,18,17,1,18
164,90,14,1,15
165,237,55,0,55
165,278,0,0,0
165,287,0,0,0
166,247,6,0,6
167,247,10,0,10
168,243,3,0,3
168,272,4,0,4
17,284,6,0,6
170,239,3,0,3
170,276,0,0,0
171,211,43,26,69
171,214,36,2,38
172,55,0,0,0
172,65,0,0,0
173,284,4,0,4
173,288,0,0,0
174,241,0,0,0
174,259,7,0,7
175,234,28,0,28
175,261,7,0,7
176,251,34,1,35
177,211,38,24,62
177,274,26,2,28
178,240,14,0,14
178,279,15,1,16
179,251,16,0,16
180,67,8,0,8
180,91,3,0,3
181,207,1,0,1
181,228,1,0,1
182,257,2,0,2
182,272,2,0,2
183,257,4,0,4
183,272,2,0,2
184,62,1,0,1
185,207,2,0,2
185,228,2,0,2
186,89,0,0,0
186,96,0,0,0
187,72,0,0,0
187,84,0,0,0
188,192,1,0,1
188,193,2,0,2
188,269,0,0,0
188,270,0,0,0
189,237,4,0,4
19,258,6,0,6
190,206,2,0,2
190,287,0,0,0
191,210,36,19,55
191,263,13,0,13
192,244,28,0,28
193,244,12,0,12
194,229,10,0,10
194,263,9,0,9
195,206,3,0,3
195,278,0,0,0
195,287,0,0,0
196,229,5,0,5
196,263,6,0,6
197,264,2,0,2
199,221,1,0,1
199,279,1,0,1
2,234,12,0,12
2,282,9,0,9
20,24,0,2,2
20,26,0,11,11
20,36,0,5,5
20,7,0,28,28
200,221,2,0,2
200,279,0,0,0
201,221,7,0,7
201,264,1,0,1
202,203,0,0,0
202,218,2,0,2
202,286,3,0,3
203,218,4,0,4
203,286,8,0,8
204,261,0,0,0
204,285,0,0,0
204,31,0,0,0
205,236,45,0,45
206,215,10,0,10
206,288,0,0,0
207,231,3,0,3
207,232,7,0,7
208,242,1,5,6
209,216,5,0,5
209,252,5,0,5
21,254,6,0,6
21,40,0,3,3
212,27,11,0,11
212,40,11,0,11
212,80,92,0,92
212,89,3,0,3
215,6,0,0,0
216,276,0,0,0
217,280,24,0,24
218,247,7,0,7
219,57,12,0,12
219,71,3,0,3
22,282,9,0,9
22,47,0,1,1
220,236,37,1,38
220,255,26,0,26
221,60,6,0,6
222,248,2,2,4
222,266,25,6,31
222,281,0,3,3
222,79,29,8,37
223,240,5,0,5
224,240,7,0,7
225,42,9,0,9
225,50,11,0,11
226,258,16,0,16
226,32,21,0,21
226,90,5,0,5
227,268,19,0,19
227,284,6,0,6
229,274,23,0,23
23,282,4,0,4
23,39,0,2,2
230,260,0,0,0
230,285,0,0,0
231,257,3,0,3
232,257,1,0,1
233,242,240,34,274
233,250,0,0,0
235,239,2,0,2
235,69,0,0,0
237,68,4,0,4
238,245,0,0,0
238,258,8,0,8
238,283,0,0,0
239,284,5,0,5
239,69,2,0,2
239,92,31,0,31
24,26,0,10,10
24,36,0,1,1
24,38,0,1,1
24,43,0,0,0
24,51,0,1,1
24,53,0,0,0
24,56,0,0,0
24,7,0,13,13
24,73,0,0,0
24,76,0,1,1
24,83,0,0,0
243,272,3,0,3
245,258,10,0,10
245,277,0,0,0
248,79,2,0,2
249,271,8,0,8
249,286,7,0,7
252,51,2,0,2
253,269,0,0,0
253,270,0,0,0
254,258,8,0,8
254,30,3,0,3
258,277,0,0,0
258,4,1,0,1
258,6,4,1,5
259,268,9,0,9
259,52,4,0,4
26,36,0,6,6
26,7,0,17,17
260,44,0,0,0
260,68,0,0,0
260,99,0,0,0
261,264,0,0,0
261,285,0,0,0
262,72,5,0,5
265,45,4,0,4
266,281,0,0,0
267,46,0,0,0
27,284,9,0,9
273,282,7,0,7
273,284,35,0,35
273,88,11,0,11
273,92,23,0,23
275,77,7,0,7
28,284,7,0,7
28,46,0,3,3
280,81,5,0,5
282,30,2,0,2
282,49,6,0,6
282,5,5,0,5
282,58,2,0,2
282,91,3,0,3
284,33,4,0,4
284,35,6,0,6
284,38,5,0,5
284,41,8,0,8
284,5,10,0,10
284,69,4,0,4
284,75,8,0,8
284,83,5,0,5
284,88,8,0,8
285,71,9,0,9
288,98,0,0,0
3,86,18,13,31
3,9,6,37,43
34,36,0,6,6
34,41,0,4,4
34,48,0,1,1
34,54,0,1,1
34,62,0,0,0
34,70,0,0,0
34,8,0,6,6
36,41,0,3,3
36,48,0,2,2
36,54,0,0,0
36,62,0,1,1
36,7,0,4,4
36,70,0,0,0
36,8,0,10,10
38,43,0,0,0
38,51,0,58,58
38,53,0,1,1
38,56,0,1,1
38,73,0,0,0
38,76,0,0,0
38,83,0,0,0
41,48,0,2,2
41,54,0,1,1
41,62,0,2,2
41,70,0,0,0
41,8,0,0,0
42,48,0,0,0
43,51,0,0,0
43,53,0,1,1
43,56,0,0,0
43,73,0,0,0
43,76,0,0,0
43,83,0,0,0
44,99,0,0,0
48,54,0,1,1
48,62,0,0,0
48,70,0,1,1
48,8,0,7,7
50,66,0,1,1
51,53,0,1,1
51,56,0,0,0
51,73,0,0,0
51,76,0,3,3
51,83,0,0,0
53,56,0,0,0
53,73,0,0,0
53,76,0,0,0
53,83,0,1,1
54,62,0,0,0
54,70,0,0,0
54,8,0,1,1
55,65,0,0,0
56,73,0,0,0
56,76,0,0,0
56,83,0,0,0
58,59,0,0,0
58,61,0,0,0
58,64,0,0,0
59,61,0,0,0
59,64,0,0,0
61,64,0,0,0
62,70,0,0,0
62,8,0,2,2
64,94,0,0,0
67,99,0,13,13
70,8,0,1,1
73,76,0,0,0
73,83,0,0,0
76,83,0,75,75
89,96,0,0,0
95,96,0,0,0
