contig_u,contig_v,short_pair_count,long_read_count,total_support
1,26,97,0,97
1,49,27,0,27
10,19,0,0,0
11,37,24,0,24
11,47,39,0,39
12,21,0,0,0
12,42,0,0,0
13,23,167,367,534
14,47,54,0,54
15,53,32,0,32
16,18,54,0,54
16,43,40,0,40
16,49,14,0,14
17,2,0,0,0
17,44,87,12,99
17,46,67,0,67
18,50,27,0,27
19,46,45,0,45
2,44,68,6,74
2,57,73,81,154
21,54,104,2,106
22,53,36,0,36
22,55,18,0,18
24,36,53,0,53
24,37,0,0,0
24,45,0,0,0
25,34,318,97,415
25,44,458,0,458
26,32,279,96,375
26,49,51,0,51
27,28,914,1773,2687
3,55,40,0,40
30,46,144,2,146
30,53,100,0,100
31,32,302,832,1134
31,43,170,6,176
33,40,47,0,47
34,48,0,0,0
35,39,0,0,0
35,45,0,0,0
35,51,0,0,0
36,51,0,0,0
36,7,59,0,59
37,45,13,0,13
38,52,0,0,0
38,59,0,0,0
39,45,27,0,27
39,51,0,3,3
4,43,37,0,37
40,41,21,0,21
40,50,14,0,14
41,50,13,0,13
42,52,0,0,0
44,8,64,12,76
47,58,0,0,0
47,9,35,0,35
50,7,25,0,25
55,58,2,0,2
56,59,0,0,0
56,8,0,0,0
57,9,54,85,139
