contig_u,contig_v,short_pair_count,long_read_count,total_support
1,24,138,126,264
10,28,23,0,23
10,51,0,0,0
11,13,0,1,1
11,49,29,0,29
12,4,0,0,0
12,48,0,0,0
13,23,5,0,5
14,28,43,0,43
15,52,0,0,0
16,53,0,1,1
17,29,58,7,65
17,53,0,0,0
18,24,29,0,29
18,49,10,2,12
19,39,7,0,7
19,47,0,0,0
2,23,20,0,20
2,3,0,11,11
2,38,38,0,38
2,55,0,0,0
21,3,0,0,0
21,52,0,0,0
22,46,2,0,2
23,48,0,0,0
24,37,122,4,126
24,44,61,2,63
24,49,4,0,4
24,53,4,0,4
24,56,13,1,14
26,47,4,0,4
27,46,2,0,2
28,31,11,0,11
28,7,52,0,52
29,32,422,74,496
29,9,11,0,11
3,38,12,5,17
3,55,0,0,0
30,42,0,0,0
30,7,11,23,34
31,46,5,0,5
32,37,30,2,32
33,42,0,0,0
33,50,0,0,0
33,54,0,0,0
34,47,0,0,0
34,51,0,0,0
35,40,0,0,0
35,57,0,0,0
36,51,1,0,1
37,56,0,0,0
38,43,42,0,42
38,55,3,0,3
39,50,4,0,4
40,42,0,0,0
41,5,65,0,65
41,8,94,0,94
44,56,0,0,0
44,58,0,0,0
45,52,0,0,0
48,5,0,0,0
48,9,0,0,0
50,54,0,0,0
