contig_u,contig_v,short_pair_count,long_read_count,total_support
1,16,0,102,102
10,22,16,1,17
10,37,24,0,24
11,53,3,0,3
11,58,2,0,2
12,37,20,0,20
13,56,4,0,4
14,56,9,0,9
15,61,8,0,8
16,24,11,1,12
17,28,57,3,60
17,29,40,5,45
18,34,61,4,65
19,3,0,0,0
19,40,26,0,26
19,51,2,0,2
19,63,0,0,0
2,29,13,0,13
2,53,0,0,0
20,29,46,5,51
20,44,19,3,22
21,26,18,0,18
21,27,24,0,24
21,8,6,0,6
21,9,8,0,8
22,5,24,18,42
22,55,179,56,235
22,56,16,0,16
22,7,4,11,15
23,28,41,0,41
23,44,18,1,19
24,52,13,0,13
25,28,106,0,106
26,33,12,0,12
27,33,27,0,27
29,30,13,0,13
3,40,0,0,0
3,63,0,0,0
30,61,8,0,8
31,43,0,3,3
31,47,0,0,0
31,48,7,1,8
32,58,0,0,0
32,62,1,0,1
33,38,50,2,52
34,44,145,10,155
35,58,2,0,2
35,59,0,0,0
36,62,0,0,0
37,54,0,0,0
38,41,3,0,3
38,42,0,0,0
39,59,0,0,0
4,51,6,0,6
4,58,2,0,2
40,45,7,0,7
40,46,0,0,0
40,60,0,0,0
40,63,0,0,0
41,53,1,0,1
42,53,1,0,1
43,47,0,2,2
43,48,0,0,0
43,50,0,0,0
45,46,0,0,0
45,57,0,0,0
45,60,0,0,0
46,60,0,0,0
46,63,0,0,0
47,48,0,0,0
49,59,0,0,0
49,62,0,0,0
5,7,0,0,0
51,54,0,0,0
52,55,15,0,15
57,60,0,0,0
