contig_u,contig_v,short_pair_count,long_read_count,total_support
1,1117,27,37,64
1,67,11,73,84
10,1119,12,9,21
10,1354,10,0,10
100,143,5,2,7
100,801,10,1,11
1000,680,18,0,18
1000,878,22,5,27
1001,1121,21,0,21
1001,942,10,0,10
1002,1284,6,0,6
1002,859,2,0,2
1003,589,38,28,66
1003,698,23,28,51
1004,1025,28,13,41
1004,1298,2,0,2
1004,1300,17,0,17
1005,1407,15,0,15
1005,1422,4,0,4
1005,1423,14,0,14
1006,129,10,1,11
1006,139,21,5,26
1006,505,0,0,0
1007,1255,6,0,6
1007,391,6,0,6
1008,544,24,5,29
1008,817,17,1,18
1009,1513,13,0,13
1009,1612,15,1,16
101,473,27,3,30
101,569,26,89,115
1010,215,0,0,0
1010,437,6,0,6
1011,1435,0,0,0
1011,1436,0,0,0
1011,1478,22,3,25
1012,215,10,0,10
1012,437,7,0,7
1013,1570,1,0,1
1013,652,9,0,9
1014,1570,0,0,0
1014,652,12,0,12
1015,572,21,15,36
1015,624,5,0,5
1015,81,5,0,5
1016,670,13,2,15
1016,820,22,3,25
1017,1157,22,0,22
1017,420,18,8,26
1018,226,16,14,30
1018,725,11,0,11
1019,1473,21,0,21
1019,440,33,29,62
1020,1559,0,0,0
1020,1563,0,0,0
1020,46,32,27,59
1021,1257,20,0,20
1021,1258,6,0,6
1021,1337,35,0,35
1022,1544,0,0,0
1022,889,6,0,6
1023,1133,25,32,57
1023,782,28,21,49
1024,1063,48,2,50
1024,1233,12,0,12
1024,1234,13,0,13
1025,968,30,59,89
1026,1110,23,9,32
1026,489,30,10,40
1027,1406,11,0,11
1027,1498,3,0,3
1028,1544,3,0,3
1028,889,10,0,10
1029,109,36,30,66
1029,454,26,31,57
103,772,39,75,114
1030,1158,25,5,30
1030,878,31,16,47
1031,1381,5,0,5
1031,1382,2,0,2
1031,991,17,0,17
1032,1293,24,20,44
1032,806,34,31,65
1033,468,30,6,36
1033,833,29,0,29
1034,427,27,71,98
1034,595,26,40,66
1035,1233,20,0,20
1035,1234,1,0,1
1035,66,17,0,17
1036,730,26,35,61
1036,980,16,44,60
1037,1363,18,0,18
1037,1377,3,0,3
1037,1378,4,0,4
1038,138,4,0,4
1038,356,7,0,7
1039,1588,2,0,2
1039,1590,3,0,3
1039,498,38,14,52
104,1114,14,0,14
104,331,13,5,18
