contig_u,contig_v,short_pair_count,long_read_count,total_support
1,39,36,0,36
1,91,21,0,21
10,42,50,0,50
10,7,0,0,0
10,78,43,0,43
10,82,0,0,0
11,17,0,2,2
11,69,47,1,48
12,26,0,0,0
12,39,28,0,28
13,49,65,0,65
13,84,16,0,16
14,38,113,0,113
14,90,43,0,43
15,46,29,13,42
15,89,94,0,94
16,73,65,0,65
16,79,37,0,37
17,92,20,0,20
19,41,46,0,46
19,49,57,0,57
2,76,35,0,35
2,90,37,0,37
20,73,20,0,20
20,78,37,0,37
21,27,38,0,38
21,70,20,0,20
22,83,105,14,119
22,97,107,2,109
22,98,46,0,46
24,5,0,0,0
24,90,37,3,40
25,28,0,0,0
25,70,54,0,54
25,83,61,0,61
26,89,54,0,54
27,3,58,0,58
28,70,56,0,56
28,77,31,0,31
29,48,419,0,419
3,75,19,0,19
30,71,105,0,105
30,95,0,0,0
30,96,0,0,0
31,60,45,0,45
31,81,25,0,25
32,60,59,0,59
32,81,11,0,11
33,60,35,0,35
33,87,15,0,15
34,60,32,0,32
34,87,10,0,10
35,53,482,0,482
36,56,60,0,60
36,65,32,0,32
37,56,61,0,61
37,65,43,0,43
38,6,71,0,71
38,61,164,1,165
39,85,33,0,33
39,86,34,0,34
4,53,84,2,86
40,85,33,0,33
40,86,26,0,26
40,91,86,0,86
41,51,216,1,217
41,7,29,0,29
42,7,0,0,0
42,82,0,0,0
43,62,114,0,114
43,78,46,0,46
43,88,7,0,7
44,84,26,0,26
44,87,22,0,22
45,84,20,0,20
45,87,20,0,20
46,89,107,0,107
47,57,45,0,45
47,58,99,0,99
47,63,36,0,36
47,64,79,0,79
48,80,527,12,539
49,66,38,0,38
49,67,40,0,40
5,75,24,0,24
50,54,41,0,41
50,55,52,0,52
50,93,0,0,0
50,94,0,0,0
51,95,0,0,0
51,96,0,0,0
52,59,0,0,0
52,80,223,113,336
53,73,187,0,187
54,75,16,0,16
55,75,17,0,17
56,81,42,0,42
57,77,21,0,21
58,77,33,0,33
59,80,301,133,434
6,97,88,1,89
6,98,1,0,1
61,93,0,0,0
61,94,0,0,0
62,76,30,0,30
63,70,34,0,34
64,70,46,0,46
65,66,16,0,16
65,67,26,0,26
68,69,27,0,27
68,79,31,0,31
7,82,0,0,0
71,77,35,0,35
76,8,42,0,42
78,88,11,0,11
8,92,16,0,16
84,9,16,0,16
9,91,26,0,26
90,92,20,0,20
97,98,34,0,34
