contig_u,contig_v,short_pair_count,long_read_count,total_support
1,138,1,0,1
1,17,0,0,0
1,25,0,0,0
1,26,0,0,0
1,32,0,0,0
1,35,0,0,0
1,47,0,0,0
1,6,0,1,1
1,72,68,15,83
1,8,0,0,0
1,89,0,0,0
1,9,0,0,0
10,138,3,0,3
10,35,0,0,0
10,54,93,94,187
100,102,64,0,64
100,59,71,0,71
100,67,59,0,59
101,99,79,0,79
102,44,46,0,46
102,82,19,0,19
102,83,141,0,141
103,12,0,6,6
103,16,0,0,0
104,129,30,0,30
104,64,77,3,80
105,106,31,0,31
105,107,35,0,35
106,88,32,0,32
107,88,33,0,33
108,118,20,0,20
108,119,28,0,28
108,74,52,0,52
108,75,47,0,47
109,121,19,0,19
109,130,85,1,86
11,138,0,0,0
11,71,55,0,55
110,112,124,1,125
110,28,36,1,37
110,81,22,0,22
111,114,172,6,178
112,127,0,0,0
112,128,9,0,9
113,134,89,0,89
113,37,21,0,21
113,45,37,0,37
114,121,12,0,12
115,43,11,0,11
115,88,53,0,53
115,91,14,0,14
117,64,71,0,71
117,70,30,0,30
117,82,31,0,31
117,83,80,0,80
118,73,37,0,37
119,73,28,0,28
12,71,24,0,24
120,74,30,0,30
120,75,27,0,27
120,76,19,0,19
120,77,29,0,29
122,123,85,2,87
122,27,39,5,44
122,54,498,125,623
123,27,45,0,45
123,30,23,0,23
124,127,0,0,0
124,128,5,0,5
124,45,10,0,10
124,81,22,0,22
125,78,12,0,12
125,92,16,0,16
125,94,9,0,9
125,95,11,0,11
126,138,2,0,2
126,32,0,0,0
126,33,0,0,0
126,36,0,0,0
126,37,0,0,0
126,72,30,5,35
129,57,18,0,18
129,58,41,0,41
129,70,17,0,17
13,36,0,0,0
13,61,49,0,49
130,4,36,0,36
131,134,6,0,6
131,85,26,0,26
132,134,3,0,3
132,85,35,0,35
133,139,418,18,436
135,76,32,0,32
135,77,28,0,28
135,93,106,0,106
136,140,138,1,139
136,97,4,4,8
137,62,10,0,10
137,72,16,14,30
138,15,4,0,4
138,18,1,0,1
138,22,1,0,1
138,24,1,0,1
138,28,0,0,0
138,33,0,0,0
138,34,0,0,0
138,39,8,0,8
138,40,0,0,0
138,42,0,0,0
138,46,0,0,0
138,47,0,0,0
138,52,0,0,0
138,53,4,0,4
138,63,0,0,0
138,72,14,0,14
139,140,151,2,153
14,69,12,0,12
14,71,35,0,35
15,61,25,0,25
16,69,14,0,14
17,25,0,0,0
17,26,0,0,0
17,32,0,0,0
17,35,0,0,0
17,47,0,0,0
17,6,0,0,0
17,61,44,0,44
17,72,61,15,76
17,8,0,0,0
17,89,0,0,0
17,9,0,0,0
18,20,0,0,0
18,23,0,0,0
18,72,63,38,101
19,61,28,0,28
19,71,61,0,61
2,61,22,0,22
20,23,0,0,0
20,61,14,0,14
20,72,47,12,59
21,61,59,0,59
21,71,50,0,50
22,71,67,0,67
23,72,67,20,87
23,86,79,0,79
24,69,23,0,23
25,26,0,0,0
25,32,0,0,0
25,35,0,0,0
25,47,0,0,0
25,6,0,0,0
25,72,58,16,74
25,8,0,0,0
25,89,0,0,0
25,9,0,0,0
26,32,0,0,0
26,35,0,0,0
26,47,0,0,0
26,6,0,0,0
26,72,31,12,43
26,8,0,0,0
26,89,0,0,0
26,9,0,0,0
26,90,66,0,66
29,69,45,0,45
29,84,75,0,75
3,71,74,0,74
3,99,34,0,34
30,72,77,0,77
31,51,0,0,0
31,54,135,75,210
31,71,50,0,50
32,33,0,0,0
32,35,0,0,0
32,36,0,0,0
32,37,0,1,1
32,47,0,0,0
32,6,0,0,0
32,72,130,58,188
32,8,0,0,0
32,89,0,0,0
32,9,0,0,0
33,36,0,0,0
33,37,0,0,0
33,72,66,17,83
34,71,72,0,72
35,47,0,0,0
35,54,49,0,49
35,6,0,0,0
35,72,39,16,55
35,8,0,0,0
35,89,0,0,0
35,9,0,0,0
36,37,0,0,0
36,72,67,7,74
37,72,60,15,75
38,63,0,0,0
4,71,68,0,68
40,61,63,0,63
41,42,0,24,24
41,69,56,0,56
41,72,73,17,90
42,72,96,9,105
43,58,82,0,82
44,98,23,0,23
46,86,52,0,52
47,6,0,0,0
47,72,38,17,55
47,8,0,0,0
47,89,0,0,0
47,9,0,0,0
48,58,93,0,93
48,71,51,0,51
49,69,324,0,324
5,71,67,1,68
50,69,23,0,23
50,71,40,0,40
51,54,98,68,166
51,61,27,0,27
52,71,26,0,26
53,61,12,0,12
55,73,33,0,33
55,90,56,0,56
56,69,46,0,46
57,71,56,0,56
59,80,94,0,94
6,61,36,0,36
6,72,31,16,47
6,8,0,0,0
6,89,0,0,0
6,9,0,0,0
60,65,52,0,52
60,73,54,0,54
61,67,32,0,32
61,68,70,0,70
61,9,41,0,41
65,90,116,0,116
65,98,62,0,62
66,71,92,0,92
68,80,83,0,83
69,79,85,0,85
7,71,34,0,34
7,84,54,0,54
71,8,37,0,37
71,89,46,0,46
71,91,21,0,21
72,8,79,0,79
72,89,67,1,68
72,9,61,0,61
78,80,44,0,44
8,89,0,0,0
8,9,0,0,0
80,92,34,0,34
84,86,301,3,304
85,87,194,8,202
87,90,148,0,148
89,9,0,0,0
93,94,72,0,72
93,95,94,0,94
96,99,50,0,50
