contig_u,contig_v,short_pair_count,long_read_count,total_support
1,13,0,0,0
1,91,61,0,61
10,40,95,0,95
10,74,34,0,34
100,21,0,0,0
100,27,3,0,3
100,29,0,0,0
100,56,0,0,0
100,99,0,0,0
101,18,11,1,12
101,23,8,0,8
102,49,4,0,4
102,54,3,0,3
102,81,0,0,0
11,80,72,0,72
11,90,65,28,93
12,4,0,4,4
12,41,112,17,129
12,67,43,0,43
13,15,0,45,45
14,56,31,0,31
14,69,70,3,73
15,79,51,0,51
16,40,93,0,93
16,80,163,25,188
17,52,79,0,79
17,67,32,0,32
18,28,115,0,115
19,30,102,0,102
19,99,26,3,29
2,42,65,0,65
2,78,57,0,57
20,38,77,0,77
20,84,47,66,113
21,27,0,0,0
21,29,0,0,0
21,79,30,0,30
21,99,10,4,14
22,38,80,0,80
22,8,0,0,0
23,3,0,21,21
23,8,0,0,0
23,95,0,0,0
24,41,70,0,70
24,66,58,0,58
25,63,70,0,70
26,54,486,0,486
26,88,225,0,225
27,29,0,0,0
27,52,64,0,64
27,99,0,0,0
28,5,52,0,52
28,6,65,0,65
28,95,0,0,0
29,60,74,0,74
29,99,15,1,16
3,8,0,6,6
3,90,31,0,31
3,95,0,0,0
30,7,84,5,89
31,49,201,0,201
31,76,205,0,205
32,60,70,0,70
32,66,79,0,79
33,52,51,0,51
33,99,28,0,28
34,47,70,0,70
34,89,54,0,54
35,47,68,0,68
35,89,36,0,36
36,44,91,0,91
36,50,120,0,120
37,44,85,0,85
37,50,115,0,115
38,63,186,6,192
39,40,221,0,221
39,58,65,0,65
39,59,57,0,57
4,41,129,6,135
4,78,51,0,51
41,52,114,0,114
41,74,147,0,147
42,58,51,0,51
42,59,51,0,51
42,9,65,0,65
43,68,48,0,48
43,70,37,0,37
43,75,109,0,109
44,61,145,0,145
45,50,69,0,69
45,94,45,0,45
46,50,67,0,67
46,94,40,0,40
47,78,161,2,163
48,56,19,0,19
48,91,23,0,23
51,92,147,0,147
51,93,126,20,146
53,72,153,6,159
53,77,143,7,150
54,81,234,0,234
55,68,29,0,29
55,70,28,0,28
55,86,14,0,14
55,87,15,0,15
57,89,99,4,103
57,92,117,7,124
6,88,33,0,33
60,62,108,0,108
61,85,67,0,67
62,64,42,0,42
62,65,40,0,40
63,9,59,0,59
64,66,34,0,34
65,66,39,0,39
67,75,101,1,102
69,71,101,0,101
69,98,14,0,14
7,71,38,1,39
71,98,12,1,13
72,82,22,0,22
72,83,28,0,28
73,82,13,0,13
73,83,17,0,17
73,86,7,0,7
73,87,11,0,11
76,81,63,0,63
77,96,9,0,9
77,97,13,0,13
79,88,28,0,28
8,95,0,0,0
85,96,9,0,9
85,97,4,0,4
93,94,28,5,33
