contig_u,contig_v,short_pair_count,long_read_count,total_support
1,40,49,1,50
1,74,0,0,0
10,109,0,0,0
10,4,0,1,1
10,50,0,0,0
10,57,36,55,91
10,6,0,1,1
100,48,0,0,0
100,56,0,0,0
101,115,0,0,0
101,116,0,0,0
101,13,5,0,5
101,24,5,0,5
102,39,0,0,0
102,94,0,0,0
103,105,48,3,51
103,81,0,0,0
104,108,8,0,8
104,34,25,0,25
105,118,0,0,0
105,98,18,0,18
106,15,7,0,7
106,37,24,0,24
106,40,22,0,22
107,55,11,0,11
107,69,6,0,6
108,28,3,0,3
108,47,9,0,9
108,63,21,0,21
109,51,0,0,0
11,14,0,1,1
11,52,40,0,40
11,57,29,75,104
110,54,0,0,0
110,56,0,0,0
111,43,17,0,17
111,65,18,0,18
112,43,8,0,8
112,65,5,0,5
113,114,5,0,5
113,41,17,0,17
113,64,19,0,19
113,76,15,0,15
114,99,8,0,8
115,61,0,0,0
116,61,0,0,0
117,13,3,0,3
117,87,9,0,9
117,88,4,0,4
117,9,7,0,7
118,40,0,0,0
118,81,0,0,0
12,74,0,0,0
12,77,21,0,21
14,57,32,26,58
15,74,0,0,0
16,22,0,1,1
16,24,0,0,0
16,3,0,0,0
16,41,0,0,0
16,57,48,68,116
16,64,0,0,0
16,74,0,0,0
17,23,0,0,0
17,37,0,0,0
17,57,36,28,64
17,68,32,5,37
17,8,0,0,0
17,93,0,0,0
18,60,216,492,708
19,62,42,0,42
2,50,13,0,13
2,74,0,0,0
20,38,0,0,0
20,40,50,260,310
20,88,25,0,25
21,74,0,0,0
22,24,0,0,0
22,3,0,0,0
22,41,0,0,0
22,57,29,40,69
22,64,0,0,0
23,37,0,0,0
23,57,41,26,67
23,8,0,0,0
23,90,40,2,42
23,93,0,0,0
24,3,0,1,1
24,41,0,0,0
24,57,36,27,63
24,64,0,0,0
25,26,0,0,0
25,74,0,0,0
26,44,0,0,0
27,30,0,0,0
27,79,12,0,12
29,40,22,0,22
3,41,0,0,0
3,57,49,92,141
3,64,0,0,0
30,79,34,0,34
31,63,30,0,30
31,70,9,0,9
32,63,31,0,31
32,71,61,0,61
33,68,41,0,41
33,77,22,0,22
35,74,0,0,0
36,54,9,0,9
36,74,0,0,0
37,57,64,57,121
37,8,0,0,0
37,93,0,0,0
38,40,38,0,38
38,62,30,0,30
39,57,41,0,41
4,50,0,0,0
4,57,28,37,65
4,6,0,1,1
4,74,0,0,0
40,5,31,1,32
40,66,108,0,108
40,98,51,1,52
41,57,44,5,49
41,64,0,0,0
42,53,27,0,27
42,89,18,0,18
44,94,12,0,12
45,66,87,27,114
45,90,313,1280,1593
46,53,17,0,17
46,89,24,0,24
47,74,0,0,0
48,49,11,0,11
49,69,19,0,19
5,74,0,0,0
50,57,35,3,38
50,6,0,0,0
51,97,0,0,0
52,91,0,0,0
52,93,31,0,31
53,97,0,0,0
55,83,31,0,31
55,96,69,2,71
57,6,27,0,27
57,64,32,15,47
57,71,521,69,590
57,72,0,0,0
57,8,33,0,33
57,93,35,0,35
58,78,105,4,109
58,82,94,0,94
59,65,96,0,96
59,94,24,0,24
6,74,0,0,0
61,69,51,0,51
62,67,86,0,86
67,79,54,0,54
68,80,105,8,113
7,74,0,0,0
70,74,0,0,0
71,74,0,0,0
71,84,0,0,0
72,73,0,0,0
73,92,0,0,0
74,8,0,0,0
74,83,0,0,0
75,84,0,0,0
75,92,0,0,0
76,99,15,0,15
77,91,0,0,0
78,80,94,0,94
8,93,0,0,0
82,85,2,0,2
82,86,15,0,15
85,99,2,0,2
86,99,8,0,8
87,95,19,0,19
88,95,37,0,37
89,96,28,0,28
