contig_u,contig_v,short_pair_count,long_read_count,total_support
1,147,16,1,17
1,6,0,57,57
10,134,14,0,14
100,154,13,0,13
100,73,32,0,32
101,154,11,0,11
101,73,26,0,26
102,128,22,0,22
102,94,20,0,20
103,128,35,0,35
103,31,34,0,34
103,94,27,0,27
104,129,17,0,17
104,130,27,0,27
104,14,31,0,31
104,162,3,0,3
105,154,9,0,9
105,156,9,0,9
106,154,9,0,9
106,156,9,0,9
107,164,4,0,4
107,86,28,0,28
108,164,1,0,1
108,165,4,0,4
108,86,57,0,57
109,136,14,0,14
109,137,14,0,14
109,150,31,0,31
11,116,31,0,31
11,4,0,22,22
11,48,35,2,37
110,15,35,0,35
110,27,23,1,24
110,87,25,0,25
110,88,23,0,23
111,143,13,0,13
111,58,20,0,20
112,143,5,0,5
112,58,29,0,29
113,142,41,0,41
113,158,42,11,53
113,25,42,22,64
113,4,62,10,72
114,135,14,0,14
114,170,0,0,0
114,171,2,0,2
114,9,25,0,25
115,78,36,0,36
115,79,30,0,30
115,93,83,0,83
116,7,28,0,28
116,94,51,0,51
117,119,16,0,16
117,134,5,0,5
118,119,26,0,26
118,134,13,0,13
119,58,82,0,82
12,144,43,3,46
120,169,0,0,0
120,50,145,5,150
120,89,0,2,2
120,95,0,0,0
121,124,42,0,42
121,98,93,0,93
122,128,31,0,31
122,27,26,0,26
122,55,31,0,31
123,151,0,0,0
123,152,1,0,1
123,65,35,0,35
123,66,19,0,19
124,133,38,0,38
125,166,0,0,0
125,168,0,0,0
125,67,74,1,75
126,157,0,0,0
126,57,57,1,58
127,74,154,0,154
127,81,101,0,101
128,17,33,0,33
129,146,1,0,1
13,144,29,0,29
130,132,17,0,17
130,146,2,0,2
131,29,0,0,0
131,68,0,0,0
132,153,0,0,0
132,54,22,0,22
133,166,0,0,0
133,168,0,0,0
134,55,13,0,13
135,170,0,0,0
135,171,0,0,0
135,26,12,0,12
136,77,21,0,21
137,77,16,0,16
138,50,230,0,230
139,56,58,0,58
139,73,63,1,64
14,22,0,3,3
14,24,0,4,4
140,69,68,4,72
140,77,68,1,69
141,59,65,1,66
141,78,26,0,26
141,79,19,0,19
142,30,35,0,35
142,36,20,0,20
142,4,0,0,0
143,71,11,0,11
143,72,22,0,22
144,22,29,1,30
144,3,28,0,28
144,5,29,0,29
144,80,289,31,320
145,16,50,0,50
145,20,36,0,36
145,85,181,55,236
146,153,2,0,2
147,161,0,0,0
147,163,0,0,0
147,30,19,0,19
147,6,14,4,18
148,71,9,0,9
148,72,14,0,14
148,87,19,0,19
148,88,17,0,17
149,160,11,0,11
149,163,3,0,3
149,24,17,0,17
149,32,6,0,6
15,167,4,0,4
150,19,17,0,17
150,26,26,0,26
151,46,1,0,1
152,46,2,0,2
153,164,0,0,0
153,165,0,0,0
155,62,17,0,17
155,64,12,0,12
155,96,13,0,13
155,97,16,0,16
156,65,7,0,7
156,66,10,0,10
157,167,0,0,0
158,21,17,0,17
158,25,0,0,0
158,28,8,1,9
158,8,28,1,29
159,43,0,0,0
159,53,0,0,0
16,74,46,1,47
160,31,24,0,24
160,42,28,0,28
161,163,0,0,0
162,28,11,0,11
162,54,17,0,17
162,8,9,0,9
167,20,7,0,7
169,91,24,0,24
169,95,8,0,8
18,76,77,5,82
18,99,58,0,58
2,34,0,2,2
2,81,28,0,28
21,8,0,5,5
21,90,46,0,46
22,24,0,6,6
23,81,37,0,37
25,74,48,1,49
29,76,78,0,78
3,70,25,1,26
33,36,0,0,0
33,48,39,0,39
35,75,39,3,42
35,93,31,2,33
37,56,46,2,48
37,93,38,0,38
38,75,32,1,33
38,90,39,0,39
4,48,50,3,53
42,56,41,1,42
43,70,47,0,47
45,91,397,48,445
46,96,34,0,34
46,97,34,0,34
48,83,41,0,41
48,84,88,0,88
5,74,47,1,48
50,89,63,15,78
50,95,113,0,113
51,52,0,1,1
51,70,46,0,46
51,92,0,0,0
52,70,37,0,37
52,92,0,0,0
53,98,48,0,48
54,8,0,3,3
57,63,139,23,162
59,82,114,21,135
60,63,30,0,30
60,92,0,0,0
61,63,46,0,46
61,92,0,0,0
62,90,38,0,38
64,90,39,0,39
67,82,126,24,150
68,99,67,0,67
69,75,138,13,151
7,98,31,0,31
76,99,217,0,217
80,85,530,706,1236
81,9,41,1,42
83,86,50,0,50
84,86,94,0,94
89,91,35,0,35
