contig_u,contig_v,short_pair_count,long_read_count,total_support
1,156,39,0,39
1,96,36,5,41
10,160,25,0,25
10,188,15,0,15
100,111,40,0,40
100,127,0,0,0
100,181,14,0,14
100,32,0,0,0
100,62,0,2,2
100,66,0,0,0
101,109,37,14,51
101,165,54,0,54
101,77,0,0,0
101,87,0,0,0
102,111,33,0,33
102,134,32,0,32
103,105,60,0,60
103,67,43,2,45
104,43,40,0,40
104,73,45,24,69
105,123,281,16,297
105,148,0,0,0
105,211,0,0,0
105,49,41,1,42
105,53,22,3,25
105,63,25,63,88
107,148,26,0,26
107,168,36,0,36
107,76,0,0,0
108,125,34,0,34
108,30,21,0,21
108,70,36,1,37
108,81,39,0,39
109,140,41,0,41
109,22,14,2,16
109,37,15,6,21
109,6,14,15,29
109,75,18,69,87
109,77,28,2,30
109,80,91,70,161
109,87,26,1,27
11,200,26,1,27
11,206,0,0,0
11,45,0,7,7
110,137,37,4,41
110,147,92,0,92
110,181,49,0,49
111,126,30,0,30
111,127,54,3,57
111,130,43,4,47
111,169,0,0,0
111,18,33,22,55
111,19,83,1,84
111,21,21,1,22
111,26,30,2,32
111,31,32,1,33
111,32,107,37,144
111,33,50,19,69
111,36,61,0,61
111,40,24,2,26
111,49,72,42,114
111,52,25,1,26
111,55,32,0,32
111,62,48,26,74
111,63,23,1,24
111,66,63,44,107
111,77,29,3,32
111,8,20,8,28
111,88,39,11,50
111,93,77,2,79
112,14,35,0,35
112,85,657,1,658
112,9,42,3,45
112,92,757,0,757
113,141,72,19,91
113,24,46,1,47
113,47,26,3,29
114,141,70,177,247
114,94,114,96,210
115,131,49,0,49
115,67,52,0,52
116,131,339,0,339
116,67,295,5,300
117,174,16,0,16
117,74,39,0,39
118,174,26,0,26
118,74,30,1,31
119,156,25,2,27
119,160,36,0,36
119,29,1,1,2
119,33,0,0,0
119,84,0,0,0
12,179,44,2,46
12,183,24,0,24
12,210,0,0,0
120,196,28,0,28
121,165,33,0,33
121,198,24,1,25
